customer seated at 44A stated that the chicken was too spicy .,Catering-Food
"Customer seated at 81G would like to order a CHML for their toddler, as they are too old for the BBML.",Catering-Food
- Customer stated he had ordered an AVML meal but it wasn't on the SPML list,Catering-Food
"- customer stated he ordered AVML 3 days ago.- as per the PIL, his AVML appears ""WL"" (wait listed).- no extra AVML was loaded ex DXB for customer.- customer was not very happy about this.",Catering-Food
"- customer stated she ordered vegetarian meal, - the meal wasn't loaded for particular customer",Catering-Food
- Customer stated that he requested AVML.- Wasn't provided,Catering-Food
- customer stated that her kids did not like the child meals and that they would not eat it.- customer stated that the kids like the chicken .,Catering-Food
- Customer stated that the roasted chicken served in J/C was too salty.,Catering-Food
"- Customer stated that there should be more 'international' meal choices offered on this sector  eg chicken with vegetables, steak with mash potatoes - Options included : Chicken Kofta casserole, Ash Ghooreh and baked Nile PerchContact Details : On file",Catering-Food-Feedback
- Customer Sundar 43C had ordered an AVML- During the service he brought to my attention that the bread provided on his AVML contained eggs as it was mentioned on the ingredient paper included inside the wrap.- As an AVML customer he claimed the special m,Catering-Food
- customer tried to book for a gluten free special meal however she couldn't find the option online.- customer would like to get gluten free on all future flights.,Catering-Food
- Customer wants to change her SPML to a AVML CHML .,Catering-Food
"- Customer was not happy with his GFML breakfast meal.- The meal consisted of 2 mini sausages, 4 small potato wedges, a half small tomato and approximately 2 table spoons of spinach. - Customer asked why there were no eggs of any sort on his meal.- Also t",Catering-Food
"- Customer was offered the KSML, which she said she didn't want to receive on her future flights.",Catering-Food
"- Customer was very upset with the taste and the quality of the food.- Customer stated "" The menu says the starter is Seared yellowfin tuna and you are serving me Smoked tuna, this is ridiculous and awful. And how come a middle east airline does not have ",Catering-Food
- Customer would like to change the VGML for a AVML for him and his wife seated at 68J.,Catering-Food
- Customer would like to have AVML as the meal choice -,Catering-Food
- customer would like to request Asian vegetarian meal permanently with Emirates- customer has 3 more sectors to complete,Catering-Food
- customer would like to request Asian vegetarian meal permanently with Emirates- customer has 3 more sectors to complete,Catering-Food
- customer would like to request Asian vegetarian meal permanently with Emirates- customer has 3 more sectors to complete,Catering-Food
- customer would like to request Asian vegetarian meal permanently with Emirates- customer has 3 more sectors to complete,Catering-Food
- customer would like to request Asian vegetarian meal permanently with Emirates- customer has 3 more sectors to complete,Catering-Food
- customer would like to request for AVML meal for his future flights . As he was not aware this option must be ordered in advance 48 hour at least.,Catering-Food-SPML Request/cancel
- Customer would love to have AVML as special meal for his next sectors as he's vegetarian.,Catering-Food
- Customers complained about the fish starter. They stated was not good and that they couldn't eat it- They also complained about the fish as main course as they stated it was too salty- Few customers complained about the main course beef as some of the b,Catering-Food
- Customers did not like the carrot juice provided in FC .- Customers stated that it tastes more like a soup than juice .,Catering-Food-Quality
